16142	3897	2998	2118	22877	2342	1280	100218	23040	443	858	5372	3344	1831	34563	1641	238	8397	11282	18899	4639	389	9742	21	5008	137	0	0	0	0	0	0	0	0	0	0	
3347	1212	3398	2212	2883	525	5892	859	2296	76	504	10747	3011	7843	255	3621	23	11092	11885	14770	146	452	1292	28	265	58	0	0	0	0	0	0	0	0	0	0	
2595	3	7	9	21812	13	2	5	4170	1	1	14	3	5	1159	0	0	2	28	8	20	10	10	1	60	0	0	0	0	0	0	0	0	0	0	0	
20545	303	414	347	11743	186	94	13633	10371	37	57	405	487	2414	8787	185	38	862	1100	2184	152	50	1135	8	415	3	0	0	0	0	0	0	0	0	0	0	
368	18	451	24	359	4	2	64	330	1	1	7	16	5	40	886	3	7	14	490	31	1	36	2	55	0	0	0	0	0	0	0	0	0	0	0	
4010	2927	1743	1886	4128	1611	849	2604	3618	174	506	1177	1440	1043	18074	1159	133	1141	5382	6254	387	243	4067	6	743	46	0	0	0	0	0	0	0	0	0	0	
94	0	2	1	1493	0	0	2	161	0	0	52	0	1	340	1	0	1	1	0	138	11	2	0	206	63	0	0	0	0	0	0	0	0	0	0	
1	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
